专题,线索来源媒体,日期,标题,优先级P,命中规则,年份
T1_指南政策,中华肝脏病杂志,2023-03-08,「转」重磅解读丨贾继东教授：《慢性乙型肝炎防治指南(2022年版)》十大更新要点,0,防治指南.*(版|年版),2023
T1_指南政策,中华肝脏病杂志,2023-02-24,全文首发 ｜ 慢性乙型肝炎防治指南（2022年版）,0,防治指南.*(版|年版),2023
T1_指南政策,中华肝脏病杂志,2023-12-07,学术争鸣 ｜ 荀振欧启水：对《慢性乙型肝炎防治指南（2022年版）》的商榷,0,防治指南.*(版|年版),2023
T1_指南政策,中华肝脏病杂志,2023-06-21,指南与共识 ｜ 乙型肝炎病毒标志物临床应用专家共识,0,专家共识,2023
T1_指南政策,肝胆相照平台,2023-08-07,指南共识丨乙型肝炎病毒标志物临床应用专家共识,0,专家共识,2023
T1_指南政策,临床肝胆病杂志,2023-07-05,指南解读｜《慢性乙型肝炎防治指南(2022年版)》修订过程中关于慢性HBV感染自然史的讨论,0,防治指南.*(版|年版),2023
T1_指南政策,临床肝胆病杂志,2023-07-24,指南解读｜《慢性乙型肝炎防治指南(2022年版)》解读,0,防治指南.*(版|年版),2023
T1_指南政策,中华肝脏病杂志,2023-06-20,权威解读 ｜ 《慢性乙型肝炎防治指南（2022年版）》更新要点解读,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-08-30,温故知新丨贾继东教授：《慢性乙型肝炎防治指南(2022年版)》十大更新要点,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-05-08,窦晓光教授：从《慢性乙型肝炎防治指南(2022年版)》向“Treat All”时代迈进,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-02-27,精华版丨《慢性乙型肝炎防治指南(2022年版)》33条推荐意见速览,0,防治指南.*(版|年版),2023
T1_指南政策,肝胆相照平台,2023-03-06,重磅解读丨贾继东教授：《慢性乙型肝炎防治指南(2022年版)》十大更新要点,0,防治指南.*(版|年版),2023
T1_指南政策,雨露肝霖,2021-10-27,专家共识丨乙型病毒性肝炎相关肝细胞癌围手术期抗病毒治疗规范,0,专家共识,2021
T2_筛查,临床肝胆病杂志,2025-03-21,专家论坛｜张毓辉：海南省消除病毒性肝炎公共卫生危害工作实践,0,消除(病毒性)?肝炎,2025
T2_筛查,肝胆相照平台,2025-04-15,多维攻坚破局，聚焦国际前沿 ｜ 消除病毒性肝炎势在必得,0,消除(病毒性)?肝炎,2025
T2_筛查,临床肝胆病杂志,2025-03-13,述评｜王宇：建立公共卫生管理模式，促进消除病毒性肝炎危害,0,消除(病毒性)?肝炎,2025
T2_筛查,肝胆相照平台,2024-04-16,健康中国 ｜ 中国首个消除病毒性肝炎倡议发布：大湾区率先发起行动,0,消除(病毒性)?肝炎,2024
T2_筛查,雨露肝霖,2024-07-29,全国209家医院规范化建设乙肝临床治愈门诊，助力消除病毒性肝炎公共危害,0,消除(病毒性)?肝炎,2024
T2_筛查,肝博士,2024-07-14,前沿权威 ｜ 关于慢性乙型肝炎筛查、管理、检测、治疗的专家建议（全面、细致解读）,0,专家建议,2024
T2_筛查,肝胆相照平台,2024-04-11,明日焦点 ｜ 2024大湾区肝病国际论坛暨消除病毒性肝炎大会,0,消除(病毒性)?肝炎,2024
T2_筛查,中华肝脏病杂志,2024-07-25,权威发布 ｜ 成人乙型肝炎病毒感染筛查、检测及管理专家建议,0,专家建议,2024
T2_筛查,临床肝胆病杂志,2024-08-27,权威发布｜成人乙型肝炎病毒感染筛查、检测及管理专家建议,0,专家建议,2024
T2_筛查,肝胆相照平台,2024-07-23,林炳亮教授：《成人乙型肝炎病毒感染筛查、检测及管理专家建议》解读,0,专家建议,2024
T2_筛查,肝胆相照平台,2024-04-13,消除肝炎 我们先行 ｜ 2024大湾区肝病国际论坛暨消除病毒性肝炎大会盛大开幕,0,消除(病毒性)?肝炎,2024
T2_筛查,肝胆相照平台,2023-03-21,​主动筛查，精准检测，消除病毒性肝炎危害，中国在行动,0,消除(病毒性)?肝炎,2023
T2_筛查,雨露肝霖,2023-06-05,【全球听说】高分综述：全球乙肝病毒负担现状及消除病毒性肝炎的措施,0,消除(病毒性)?肝炎,2023
T2_筛查,肝胆相照平台,2023-04-21,中国戊型病毒性肝炎院内筛查管理流程专家共识（2023年版）,0,专家共识,2023
T2_筛查,肝胆相照平台,2023-05-08,早一点，再早一点!“消除病毒性肝炎行动”​全面加速，势在必赢！,0,消除(病毒性)?肝炎,2023
T2_筛查,肝胆相照平台,2023-10-10,最新进展 ｜ 中国消除病毒性肝炎公共卫生危害的进展,0,消除(病毒性)?肝炎,2023
T2_筛查,临床肝胆病杂志,2023-04-21,权威发布｜中国戊型病毒性肝炎院内筛查管理流程专家共识（2023年版）,0,专家共识,2023
T2_筛查,肝胆相照平台,2023-10-23,消除病毒性肝炎，我们在路上！,0,消除(病毒性)?肝炎,2023
T2_筛查,肝胆相照平台,2023-07-26,肝愈之路 ｜ 消除病毒性肝炎刻不容缓，势在必赢！,0,消除(病毒性)?肝炎,2023
T2_筛查,肝胆相照平台,2022-08-26,​云端聚会 再战肝炎丨消除病毒性肝炎，预健未来，你我同行！,0,消除(病毒性)?肝炎,2022
T2_筛查,中华肝脏病杂志,2022-03-21,《医者·心路》榜样力量丨消除病毒性肝炎，你可以永远相信中国医者,0,消除(病毒性)?肝炎,2022
T2_筛查,中华肝脏病杂志,2022-07-19,「转」庄辉院士：解读WHO 2022-2030消除病毒性肝炎行动计划,0,WHO|世界卫生组织,2022
T2_筛查,中华肝脏病杂志,2022-03-10,「转」聚焦两会丨任红总编辑：消除病毒性肝炎，应从“顶层设计”开始,0,消除(病毒性)?肝炎,2022
T2_筛查,临床肝胆病杂志,2022-03-10,「转」聚焦两会｜任红教授：消除病毒性肝炎，应从“顶层设计”开始,0,消除(病毒性)?肝炎,2022
T2_筛查,肝胆相照平台,2022-06-24,主动筛查 精准检测丨消除病毒性肝炎，吹响最强集结号,0,消除(病毒性)?肝炎,2022
T2_筛查,中华肝脏病杂志,2022-03-12,乙肝表面抗原阳性成人肝癌筛查与监测管理培训（星光项目）巡讲会暨中华肝脏病杂志“指南与共识”云解读系列会五,0,指南.*解读,2022
T2_筛查,中华肝脏病杂志,2022-03-16,加强肝癌高危患者筛查和监测，践行“健康中国2030” ——《慢性乙型肝炎病毒感染者肝细胞癌筛查和监测》解析,0,健康中国2030,2022
T2_筛查,中华肝脏病杂志,2022-03-16,成功召开：乙肝表面抗原阳性成人肝癌筛查与监测管理培训（星光项目）巡讲会暨中华肝脏病杂志“指南与共识”云解读系列会五,0,指南.*解读,2022
T2_筛查,中华肝脏病杂志,2022-04-21,成功召开：乙肝表面抗原阳性成人肝癌筛查与监测管理培训（星光项目）巡讲会暨中华肝脏病杂志“指南与共识”云解读系列会六,0,指南.*解读,2022
T2_筛查,中华肝脏病杂志,2022-02-25,成功召开：乙肝表面抗原阳性成人肝癌筛查与监测管理培训（星光项目）巡讲会暨中华肝脏病杂志“指南与共识”云解读系列会四,0,指南.*解读,2022
T2_筛查,肝胆相照平台,2022-08-09,破解--消除病毒性肝炎的核心“密钥”！,0,消除(病毒性)?肝炎,2022
T2_筛查,肝胆相照平台,2021-12-29,消除病毒性肝炎，流水要争先，靠的是绵绵不绝,0,消除(病毒性)?肝炎,2021
T2_筛查,中华肝脏病杂志,2020-07-29,免费检测打响“肝炎狙击战”， 助力消除病毒性肝炎威胁,0,消除(病毒性)?肝炎,2020
T2_筛查,中华肝脏病杂志,2024-08-07,专家论坛 ｜  庄辉院士：成人普遍筛查HBV感染和接种乙型肝炎疫苗，加速消除乙型肝炎,2,专家论坛,2024
T2_筛查,中华肝脏病杂志,2023-02-21,专家论坛 ｜ 尤红：扩大慢性乙型肝炎抗病毒治疗：更多筛查，更多治疗,2,专家论坛,2023
T2_筛查,中华肝脏病杂志,2023-08-14,学术争鸣 ｜ 陈恩强：加强一般人群的HBsAg筛查与扩大乙型肝炎抗病毒治疗适应证：势在必行,2,学术争鸣,2023
T2_筛查,临床肝胆病杂志,2022-03-30,专家论坛｜侯金林：原发性肝癌高危人群的早期预警和精准筛查,2,专家论坛,2022
T2_筛查,中华肝脏病杂志,2021-10-28,【专家论坛】慢性乙型肝炎病毒感染者肝细胞癌筛查和监测,2,专家论坛,2021
T2_筛查,中华肝脏病杂志,2024-07-24,7.28世界肝炎日 ｜ 乙型肝炎筛查和成人乙型肝炎疫苗接种专题研讨会,3,未命中,2024
T2_筛查,肝博士,2024-07-24,「转」庄辉院士：成人普遍筛查HBV感染和接种乙肝疫苗，消除乙型肝炎,3,未命中,2024
T2_筛查,肝胆相照平台,2024-08-19,南月敏教授：乙肝人群HCC筛查、监测的重要性及检测手段的探讨,3,未命中,2024
T2_筛查,肝胆相照平台,2024-07-19,庄辉院士：成人普遍筛查HBV感染和接种乙肝疫苗，消除乙型肝炎,3,未命中,2024
T2_筛查,肝癌在线,2024-04-24,滕皋军院士解读新版《指南》：肝癌高危人群多久筛查一次？,3,未命中,2024
T2_筛查,中华肝脏病杂志,2024-05-09,肝癌 ｜ 谢婵高志良：多组学联合检测可对肝癌高危人群进行有效机会性筛查,3,未命中,2024
T2_筛查,肝癌在线,2024-07-04,肝癌高危人群应该如何筛查？2024版原发性肝癌诊疗指南相关更新,3,未命中,2024
T2_筛查,雨露肝霖,2023-12-06,【AASLD2023速递】年龄、健康状况、受教育程度及收入水平等与病毒性肝炎患者的肝癌筛查依从性相关,3,未命中,2023
T3_治疗策略,临床肝胆病杂志,2023-07-06,指南解读｜慢性乙型肝炎抗病毒治疗适应证的变迁,0,指南.*解读,2023
T3_治疗策略,雨露肝霖,2016-11-07,一图读懂伴有肾脏损伤的慢性乙型肝炎患者抗病毒治疗专家共识,0,专家共识,2016
T3_治疗策略,临床肝胆病杂志,2016-11-04,伴有肾脏损伤及其高危风险的慢性乙型肝炎患者抗病毒治疗专家共识,0,专家共识,2016
T3_治疗策略,临床肝胆病杂志,2014-07-15,慢性乙型肝炎特殊患者抗病毒治疗专家共识：2014年更新,0,专家共识,2014
T3_治疗策略,中华肝脏病杂志,2024-07-30,「转」JCTH｜扩大慢性乙型肝炎治疗：中国距离“全治”策略还有多远,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2024
T3_治疗策略,雨露肝霖,2023-05-11,【期刊导读】崔富强庄辉张磊：尽早扩大慢性乙型肝炎抗病毒治疗极具成本效益！,1,期刊导读,2023
T3_治疗策略,雨露肝霖,2023-03-31,【期刊导读】陈新月郑素军教授团队：扩大抗病毒治疗适应证可使更多有疾病进展风险的慢性HBV感染者接受抗病毒治疗,1,期刊导读,2023
T3_治疗策略,中华肝脏病杂志,2022-01-25,「转」JCTH精彩论文 ｜ 儿童慢性乙型肝炎抗病毒治疗疗效及其影响因素,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2022
T3_治疗策略,雨露肝霖,2022-12-23,【期刊导读】扩大抗病毒治疗适应证有利于改善肝脏不良结局发生风险,1,期刊导读,2022
T3_治疗策略,中华肝脏病杂志,2022-01-24,【综述】王福生：儿童慢性乙型肝炎抗病毒治疗与临床治愈：进展与挑战,1,临床治愈,2022
T3_治疗策略,临床肝胆病杂志,2022-07-08,中国数据｜CR-HepB研究组：抗病毒治疗适应证变化对提高慢性乙型肝炎治疗率的影响,1,中国.*研究,2022
T3_治疗策略,雨露肝霖,2021-09-30,【期刊导读】ALT持续正常的慢性HBV感染的抗病毒治疗：争议与共识,1,期刊导读,2021
T3_治疗策略,雨露肝霖,2020-10-28,【期刊导读】慢乙肝患者启动抗病毒治疗的东亚专家意见：扩大适应证,1,期刊导读,2020
T3_治疗策略,肝胆相照平台,2024-05-21,「转」专家论坛 ｜ 胡鹏：慢性乙型肝炎抗病毒治疗新药研究进展,2,专家论坛,2024
T3_治疗策略,中华肝脏病杂志,2024-06-17,专家论坛 ｜  王福生：儿童慢性乙型肝炎抗病毒治疗的临床研究新进展,2,专家论坛,2024
T3_治疗策略,中华肝脏病杂志,2024-05-15,专家论坛 ｜ 胡鹏：慢性乙型肝炎抗病毒治疗新药研究进展,2,专家论坛,2024
T3_治疗策略,临床肝胆病杂志,2024-06-05,专家论坛｜傅蕾：儿童HBV感染—— ALT水平正常患儿的抗病毒治疗,2,专家论坛,2024
T3_治疗策略,临床肝胆病杂志,2024-06-04,专家论坛｜盛秋菊丁洋：年龄&gt;30岁、ALT水平正常HBV感染孕妇的抗病毒治疗时机,2,专家论坛,2024
T3_治疗策略,中华肝脏病杂志,2024-06-13,述评 ｜ 尤红：从全球视角看慢性乙型肝炎扩大治疗新理念,2,述评,2024
T3_治疗策略,临床肝胆病杂志,2024-05-29,述评｜窦晓光：关注慢性乙型肝炎特殊人群抗病毒治疗时机及治疗策略,2,述评,2024
T3_治疗策略,肝胆相照平台,2023-08-23,「转」述评｜庄辉院士：高正常ALT慢性乙型肝炎患者应否启动抗病毒治疗,2,述评,2023
T3_治疗策略,中华肝脏病杂志,2023-05-19,专家论坛 ｜ 谢青：HBeAg阳性且高病毒载量ALT正常慢性HBV感染患者应尽早抗病毒治疗,2,专家论坛,2023
T3_治疗策略,临床肝胆病杂志,2023-02-08,专家论坛｜侯金林：关于《扩大慢性乙型肝炎抗病毒治疗的专家意见》的几点思考,2,专家论坛,2023
T3_治疗策略,临床肝胆病杂志,2023-02-13,专家论坛｜尤红：扩大慢性乙型肝炎初始治疗：降低ALT治疗阈值,2,专家论坛,2023
T3_治疗策略,临床肝胆病杂志,2023-02-10,专家论坛｜窦晓光：扩大慢性乙型肝炎抗病毒治疗适应证：利大于弊,2,专家论坛,2023
T3_治疗策略,中华肝脏病杂志,2023-10-24,学术争鸣 ｜ 孙丽华：再行动！应用慢病健康管理理念扩大慢性乙型肝炎抗病毒治疗指征,2,学术争鸣,2023
T3_治疗策略,中华肝脏病杂志,2023-02-20,述评 ｜ 徐小元：从慢性乙型肝炎病毒感染分期角度对扩大抗病毒治疗适应证的思考,2,述评,2023
T3_治疗策略,中华肝脏病杂志,2023-05-17,述评 ｜ 窦晓光：慢性乙型肝炎抗病毒治疗：从不断扩大治疗到全面治疗势在必行,2,述评,2023
T3_治疗策略,临床肝胆病杂志,2023-10-31,述评｜庄辉院士：不确定期慢性乙型肝炎抗病毒治疗再探讨,2,述评,2023
T3_治疗策略,临床肝胆病杂志,2023-08-22,述评｜庄辉院士：高正常ALT慢性乙型肝炎患者应否启动抗病毒治疗,2,述评,2023
T3_治疗策略,中华肝脏病杂志,2022-01-18,【学术争鸣】王德扬：慢性乙型肝炎病毒感染者启动抗病毒治疗的ALT阈值评价及建议,2,学术争鸣,2022
T3_治疗策略,中华肝脏病杂志,2022-12-28,学术争鸣 ｜ 张欣欣：持续ALT正常的慢性HBV感染者启动抗病毒治疗时应充分考虑年龄与家族史,2,学术争鸣,2022
T3_治疗策略,临床肝胆病杂志,2022-07-20,学术争鸣｜扩大慢性乙型肝炎抗病毒治疗应重视ALT正常、年龄≤30岁的HBeAg阴性慢性HBV感染者,2,学术争鸣,2022
T3_治疗策略,中华肝脏病杂志,2022-05-20,学术争鸣｜黄缘：慢性乙型肝炎患者启动抗病毒治疗：无需兼备年龄和家族史,2,学术争鸣,2022
T3_治疗策略,中华肝脏病杂志,2022-04-22,征文通知｜关于对《扩大慢性乙型肝炎抗病毒治疗的专家意见》学术争鸣征文启事,2,学术争鸣,2022
T3_治疗策略,中华肝脏病杂志,2021-10-20,【学术争鸣 】唐红：关于慢性乙型肝炎病毒感染者启动抗病毒治疗ALT阈值的几点思考,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-12-13,【学术争鸣】尚佳：慢性乙型肝炎启动抗病毒治疗ALT阈值应个体化评估,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-10-19,【学术争鸣】庄辉院士：慢性乙型肝炎启动治疗的ALT阈值应否修订？,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-12-14,【学术争鸣】张欣欣：慢性乙型肝炎抗病毒治疗的丙氨酸转氨酶阈值是否应当修订,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-11-29,【学术争鸣】胡鹏：较低ALT阈值水平启动慢性乙型肝炎病毒感染者抗病毒治疗有益于获得更好的远期临床结局,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-10-26,【学术争鸣】谢雯：慢性乙型肝炎病毒感染者启动抗病毒治疗的ALT阈值需要降低,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-10-21,【学术争鸣】赵鸿：丙氨酸转氨酶正常慢性乙型肝炎病毒感染者启动抗病毒治疗的恰当指标,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2021-10-25,【学术争鸣】陈新月：慢性乙型肝炎启动抗病毒治疗的ALT阈值探讨,2,学术争鸣,2021
T3_治疗策略,肝胆相照平台,2021-07-07,学术争鸣： ALT正常的慢性HBV感染者是否应该抗病毒治疗？,2,学术争鸣,2021
T3_治疗策略,中华肝脏病杂志,2020-12-30,【专家论坛】桂红莲 谢青：ALT正常的慢性HBV感染者的抗病毒治疗时机选择,2,专家论坛,2020
T3_治疗策略,中华肝脏病杂志,2023-05-16,《中华肝脏病杂志》2023年3期重点号：CHB抗病毒治疗从不断扩大治疗到全面治疗,3,未命中,2023
T3_治疗策略,临床肝胆病杂志,2023-02-21,「转」APASL 2023 ｜ 乙型肝炎患者停止抗病毒治疗的长期预后,3,未命中,2023
T3_治疗策略,肝胆相照平台,2023-01-17,「转」庄辉院士：为什么要扩大慢性乙型肝炎的抗病毒治疗？,3,未命中,2023
T3_治疗策略,肝胆相照平台,2023-02-13,「转」窦晓光教授：扩大慢性乙型肝炎抗病毒治疗适应证：利大于弊,3,未命中,2023
T3_治疗策略,雨露肝霖,2023-12-12,【AASLD2023速递】扩大抗病毒治疗，去除ALT水平限制可使符合治疗条件的人数增加75%以上,3,未命中,2023
T3_治疗策略,临床肝胆病杂志,2023-02-01,全网首发｜《临床肝胆病杂志》2023年第1期“扩大慢性乙型肝炎抗病毒治疗”重点号（执行主编：庄辉）,3,未命中,2023
T3_治疗策略,中华肝脏病杂志,2023-02-27,成功举办：“ 慢性乙型肝炎治疗：从扩大治疗到全部治疗 ”专题研讨会暨《中华肝脏病杂志》2023年3期重点号组稿会,3,未命中,2023
T4A_初治,肝脏时间,2019-10-01,官方确认！恩替卡韦最低0.182元片，替诺福韦0.299元片，执行时间,0,官方,2019
T4A_初治,雨露肝霖,2024-02-23,【期刊导读】恩替卡韦或替诺福韦酯停药后累积临床复发率超50%，停药后HBcrAg的动态变化可预测,1,期刊导读,2024
T4A_初治,肝胆相照平台,2023-07-04,EASL 2023丨恩替卡韦替诺福韦用于HBV-HCC患者，哪个预后更好？韩国大型队列研究给你答案！,1,队列,2023
T4A_初治,肝癌在线,2023-04-04,JOH ｜ 接受替诺福韦与恩替卡韦治疗的慢性乙型肝炎患者的HCC风险对比：单病例meta分析,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2023
T4A_初治,肝癌在线,2023-07-13,「转」EASL 2023丨恩替卡韦替诺福韦用于HBV-HCC患者，哪个预后更好？韩国大型队列研究给你答案！,1,队列,2023
T4A_初治,肝胆相照平台,2023-04-19,「转」JOH ｜ 接受替诺福韦与恩替卡韦治疗的慢性乙型肝炎患者的HCC风险对比：单病例meta分析,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2023
T4A_初治,临床肝胆病杂志,2023-01-28,学术前沿｜J Hepatol：替诺福韦 vs 恩替卡韦治疗慢性乙型肝炎发生肝细胞癌的风险比较——单病例Meta分析,1,荟萃分析|系统评价|Meta,2023
T4A_初治,肝癌在线,2022-02-17,「转」替诺福韦 vs. 恩替卡韦：哪个更能降低慢乙肝患者肝癌风险？ ｜ 最新Meta分析,1,荟萃分析|系统评价|Meta,2022
T4A_初治,雨露肝霖,2021-10-14,【期刊导读】恩替卡韦联合干扰素α治疗降低慢乙肝患者肝癌和肝外癌发生风险显著优于恩替卡韦单药,1,期刊导读,2021
T4A_初治,肝癌在线,2021-03-16,法国队列研究显示：替诺福韦和恩替卡韦治疗HBV慢性感染的5年HCC发生率相似,1,队列,2021
T4A_初治,临床肝胆病杂志,2020-07-03,Hepatology：替诺福韦相比恩替卡韦可显著改善HBV相关性肝细胞癌患者肝切除术后复发,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2020
T4A_初治,临床肝胆病杂志,2020-10-29,J Hepatology：长期应用恩替卡韦或替诺福韦的慢性乙型肝炎白种人患者肝细胞癌发生风险相似,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2020
T4A_初治,临床肝胆病杂志,2020-11-19,Lancet子刊：下定论？替诺福韦与恩替卡韦治疗慢性乙型肝炎发生肝细胞癌的荟萃分析,1,荟萃分析|系统评价|Meta,2020
T4A_初治,临床肝胆病杂志,2019-10-21,Gastroenterology｜中国数据——肝癌风险：替诺福韦＜恩替卡韦,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2019
T4A_初治,临床肝胆病杂志,2019-04-09,J Hepatol：恩替卡韦与替诺福韦对慢性乙型肝炎初治患者预后影响的比较——一项来自韩国的多中心研究,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2019
T4A_初治,肝脏时间,2019-03-11,JOH：慢乙肝患者中的替诺福韦耐药问题,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2019
T4A_初治,临床肝胆病杂志,2019-04-09,回顾｜JAMA Oncol∶ 恩替卡韦与替诺福韦治疗的慢性乙型肝炎患者发生肝细胞癌的风险：一项韩国全国队列研究,1,队列,2019
T4A_初治,临床肝胆病杂志,2018-09-29,JAMA Oncol∶ 恩替卡韦与替诺福韦治疗的慢性乙型肝炎患者发生肝细胞癌的风险：一项韩国全国队列研究,1,队列,2018
T4A_初治,肝脏时间,2017-07-24,Hepatology：治疗多重耐药慢乙肝　替诺福韦（TDF）单药治疗或可搞定！,1,NEJM|Lancet|J Hepatol|Gastroenterology|Hepatology|JOH|JCTH,2017
T4A_初治,临床肝胆病杂志,2025-06-03,临床研究｜恩替卡韦与富马酸丙酚替诺福韦初治慢性乙型肝炎患者的肾功能变化比较及影响因素分析,3,未命中,2025
T4A_初治,中华肝脏病杂志,2025-01-21,病毒性肝炎 ｜ 张济深胡小雄：艾米替诺福韦和丙酚替诺福韦对机体脂质代谢的影响比较,3,未命中,2025
