专题,实体名,出现次数,最高优先级,年份,来源媒体,代表候选标题,溯源状态,PMID,DOI,期刊年卷期,官方链接,剔除原因/备注
T1_指南政策,乙型肝炎病毒标志物临床应用专家共识(2023),2,0,2023,"中华肝脏病杂志,肝胆相照平台",指南与共识 ｜ 乙型肝炎病毒标志物临床应用专家共识,已锁定,,10.3760/cma.j.cn501113-20230314-00113,"中华肝脏病杂志 2023,31(4):389-400",https://doi.org/10.3760/cma.j.cn501113-20230314-00113,
T1_指南政策,早一点，再早一点!“消除病毒性肝炎行动”​全面加速，势在必赢,1,0,2023,肝胆相照平台,早一点，再早一点!“消除病毒性肝炎行动”​全面加速，势在必赢！,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2023）
T1_指南政策,中国消除病毒性肝炎公共卫生危害进展,1,0,2023,肝胆相照平台,最新进展 ｜ 中国消除病毒性肝炎公共卫生危害的进展,已剔除,,,,,"会议报道/整理稿（2023世界肝炎日宣传大会，肝胆相照平台），非期刊来源；核心内容已由已锁定条目《消除乙型肝炎进展(庄辉述评)》(临床肝胆病杂志2024,40(5):1-4)覆盖"
T1_指南政策,消除病毒性肝炎，我们在路上,1,0,2023,肝胆相照平台,消除病毒性肝炎，我们在路上！,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2023）
T1_指南政策,消除病毒性肝炎刻不容缓，势在必赢,1,0,2023,肝胆相照平台,肝愈之路 ｜ 消除病毒性肝炎刻不容缓，势在必赢！,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2023）
T1_指南政策,​云端聚会再战肝炎丨消除病毒性肝炎，预健未来，你我同行,1,0,2022,肝胆相照平台,​云端聚会 再战肝炎丨消除病毒性肝炎，预健未来，你我同行！,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2022）
T1_指南政策,《医者·心路》榜样力量丨消除病毒性肝炎，你可以永远相信中国医者,1,0,2022,中华肝脏病杂志,《医者·心路》榜样力量丨消除病毒性肝炎，你可以永远相信中国医者,已剔除,,,,,非期刊来源：期刊栏目人物专访（中华肝脏病杂志2022）
T1_指南政策,吉大一院新刊eGastroenterology入选“中国科技期刊卓越行动计划高起点新刊”项目,1,0,2022,临床肝胆病杂志,「转」喜报！吉大一院新刊eGastroenterology入选“中国科技期刊卓越行动计划高起点新刊”项目,已剔除,,,,,非期刊来源：期刊获奖/动态报道（临床肝胆病杂志2022）
T1_指南政策,WHO 2022-2030消除病毒性肝炎行动计划(解读),1,0,2022,中华肝脏病杂志,「转」庄辉院士：解读WHO 2022-2030消除病毒性肝炎行动计划,已剔除,,,,,"庄辉院士报告整理稿（《国际肝病》2022-06，第十五届全国肝脏疾病临床学术大会），非正式期刊文献；核心内容已由已锁定条目《消除乙型肝炎进展(庄辉述评)》(临床肝胆病杂志2024,40(5):1-4)及WHO官方行动计划覆盖"
T1_指南政策,消除病毒性肝炎从顶层设计开始(任红),2,0,2022,"中华肝脏病杂志,临床肝胆病杂志",「转」聚焦两会丨任红总编辑：消除病毒性肝炎，应从“顶层设计”开始,已剔除,,,,,非期刊来源：两会提案报道（媒体报道，非学术文献），建议从正式文献库剔除
T1_指南政策,：JCTH入选2022年度中国科技期刊卓越行动计划高起点新刊项目,1,0,2022,中华肝脏病杂志,喜报：JCTH入选2022年度中国科技期刊卓越行动计划高起点新刊项目,已剔除,,,,,非期刊来源：期刊获奖/动态报道（中华肝脏病杂志2022）
T1_指南政策,打造一个品牌，联动上万医者，向消除病毒性肝炎发起冲锋,1,0,2022,肝胆相照平台,打造一个品牌，联动上万医者，向消除病毒性肝炎发起冲锋,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2022）
T1_指南政策,破解--消除病毒性肝炎的核心“密钥”,1,0,2022,肝胆相照平台,破解--消除病毒性肝炎的核心“密钥”！,已剔除,,,,,非期刊来源：科普宣传报道（肝胆相照平台2022）
T1_指南政策,第四届G峰会，一同探寻消除病毒性肝炎的至优之道、至简之道、至新之道,1,0,2022,肝胆相照平台,第四届G峰会，一同探寻消除病毒性肝炎的至优之道、至简之道、至新之道！,已剔除,,,,,非期刊来源：学术会议报道（肝胆相照平台2022）
T1_指南政策,乙型病毒性肝炎相关HCC围手术期抗病毒治疗规范,1,0,2021,雨露肝霖,专家共识丨乙型病毒性肝炎相关肝细胞癌围手术期抗病毒治疗规范,已锁定,,10.3877/cma.j.issn.1674-6899.2021.03.001,"中华腔镜外科杂志(电子版) 2021,14(3):129-136",https://doi.org/10.3877/cma.j.issn.1674-6899.2021.03.001,
T1_指南政策,全球消除病毒性肝炎公共卫生威胁(崔富强),1,0,2021,临床肝胆病杂志,崔富强：全球消除病毒性肝炎的公共卫生威胁——促进诊断和治疗是降低死亡率的关键,已锁定,,10.3969/j.issn.1001-5256.2021.07.006,"临床肝胆病杂志 2021,37(7):1522-1524",https://doi.org/10.3969/j.issn.1001-5256.2021.07.006,
T1_指南政策,消除病毒性肝炎，流水要争先，靠的是绵绵不绝,1,0,2021,肝胆相照平台,消除病毒性肝炎，流水要争先，靠的是绵绵不绝,已剔除,,,,,非期刊来源：活动宣传报道（肝胆相照平台2021）
T1_指南政策,任红教授入选卓越行动计划“优秀编辑”,1,0,2021,中华肝脏病杂志,荣誉时刻 ｜ 任红教授入选卓越行动计划“优秀编辑”,已剔除,,,,,非期刊来源：获奖报道（中华肝脏病杂志2021）
T1_指南政策,魏来教授入选卓越行动计划“优秀审稿人”,1,0,2021,中华肝脏病杂志,荣誉时刻 ｜ 魏来教授入选卓越行动计划“优秀审稿人”,已剔除,,,,,非期刊来源：获奖报道（中华肝脏病杂志2021）
T1_指南政策,慢性乙型肝炎防治指南(2019年版),8,0,2020、2019,"中华肝脏病杂志,肝脏时间,雨露肝霖",【指南解读】首版发布：《慢性乙型肝炎防治指南 (2019年版）》新亮点,已锁定,,10.3969/j.issn.1001-5256.2019.12.007,"临床肝胆病杂志 2019,35(12):2648-2669",https://doi.org/10.3969/j.issn.1001-5256.2019.12.007,
T1_指南政策,免费检测打响“肝炎狙击战”，助力消除病毒性肝炎威胁,1,0,2020,中华肝脏病杂志,免费检测打响“肝炎狙击战”， 助力消除病毒性肝炎威胁,已剔除,,,,,非期刊来源：公益活动报道（中华肝脏病杂志2020）
T1_指南政策,《中华肝脏病杂志》获得中国科技期刊卓越行动计划项目资助,1,0,2019,中华肝脏病杂志,《中华肝脏病杂志》获得中国科技期刊卓越行动计划项目资助,已剔除,,,,,非期刊来源：期刊获奖/动态报道（中华肝脏病杂志2019）
T1_指南政策,世卫组织计划2030年消除肝炎：澳大利亚表示我很难,1,0,2019,肝脏时间,世卫组织计划2030年消除肝炎：澳大利亚表示我很难,已剔除,,,,,非中国证据：国外媒体报道（肝脏时间2019转载），与主题相关性弱
T1_指南政策,聚乙二醇干扰素α治疗慢性乙型肝炎专家共识,1,0,2017,雨露肝霖,【指南与共识】聚乙二醇干扰素α治疗慢性乙型肝炎专家共识,已锁定,,10.3760/cma.j.issn.1007-3418.2017.09.007,"中华肝脏病杂志 2017,25(9):678-686",https://doi.org/10.3760/cma.j.issn.1007-3418.2017.09.007,
T1_指南政策,【指南发布】2015年版《慢性乙型肝炎防治指南》《丙型肝炎防治指南》解读,1,0,2015,雨露肝霖,【指南发布】2015年版《慢性乙型肝炎防治指南》《丙型肝炎防治指南》解读,已剔除,,,,,旧版指南解读（2015），核心内容已被已锁定条目《慢性乙型肝炎防治指南(2019年版)》《慢性乙型肝炎防治指南(2022年版)》覆盖，早于2021时间门槛
T1_指南政策,慢性病毒性肝炎干扰素α不良反应临床处理专家共识,1,0,2014,临床肝胆病杂志,慢性病毒性肝炎患者干扰素α治疗不良反应临床处理专家共识---11期指南速递,已剔除,,,,,"2014年旧版共识，已被已锁定条目《聚乙二醇干扰素α治疗慢性乙型肝炎不良反应管理专家意见(2026)》(中华肝脏病杂志2026,34(5):430-437)替代，早于2021时间门槛"
T1_指南政策,中国病毒性肝炎疾病负担研究进展,1,1,2025,临床肝胆病杂志,专家论坛｜中国病毒性肝炎疾病负担研究进展,已锁定,,10.12449/JCH250205,"临床肝胆病杂志 2025,41(2):221-227",https://doi.org/10.12449/JCH250205,
T1_指南政策,多国专家联合声明：支持中国抗击2019年COVID-19疫情中的科研、公共卫生、医务工作者,1,1,2020,临床肝胆病杂志,The Lancet ｜多国专家联合声明：支持中国抗击2019年COVID-19疫情中的科研、公共卫生、医务工作者,已剔除,,,,,与病毒性肝炎主题无关（COVID-19联合声明，临床肝胆病杂志2020），建议剔除
T1_指南政策,2004-2016中国病毒性肝炎报告发病率研究,1,1,2019,雨露肝霖,【期刊导读】2004-2016年中国病毒性肝炎报告发病率变化情况：一项观察性研究,已锁定,31427323,10.1136/bmjopen-2018-028248,BMJ Open 2019;9(8):e028248,https://pubmed.ncbi.nlm.nih.gov/31427323/,
T1_指南政策,中国消除丙肝公共卫生危害行动进展,1,2,2025,临床肝胆病杂志,专家论坛｜李健刘中夫：中国消除丙型肝炎公共卫生危害行动进展、成效与挑战,已锁定,,10.12449/JCH250204,"临床肝胆病杂志 2025,41(2):216-220",https://doi.org/10.12449/JCH250204,
T1_指南政策,中国建国以来防控病毒性肝炎工作进展(崔富强庄辉),1,2,2021,中华肝脏病杂志,【专家论坛】崔富强、庄辉：中国建国以来防控病毒性肝炎工作进展,已锁定,,10.3760/cma.j.cn501113-20210722-00351,"中华肝脏病杂志 2021,29(8):725-731",https://doi.org/10.3760/cma.j.cn501113-20210722-00351,
T1_指南政策,儿童病毒性肝炎诊治进展(许红梅),1,2,2021,中华肝脏病杂志,【专家论坛】许红梅：儿童病毒性肝炎的诊治进展,已锁定,,10.3760/cma.j.cn501113-20201229-00684,"中华肝脏病杂志 2021,29(1)",https://doi.org/10.3760/cma.j.cn501113-20201229-00684,
T1_指南政策,病毒性肝炎未来怎么管？,1,3,2025,肝癌在线,「转」病毒性肝炎未来怎么管？,已剔除,,,,,非期刊来源：专家访谈/科普报道（肝癌在线2025），未检索到对应正式期刊文献
T1_指南政策,病毒性肝炎防治指南实践工程SunShine项目,4,3,2025、2024,"临床肝胆病杂志,肝胆相照平台",指南引领，实践为先——“病毒性肝炎防治指南实践工程”项目2024全国总结会暨2025全国启动会璀璨启幕！,已锁定,,,政策项目：'病毒性肝炎防治指南实践工程'（SunShine项目），中国医药教育协会+陈菊梅公益基金会主办，2024-06-14启动；已产出《临床肝胆病杂志》问卷调查论文,,
T1_指南政策,2006-2021中国居民乙肝相关死亡流行特征,1,3,2025,中华肝脏病杂志,病毒性肝炎 ｜ 王瑞华韩雪：2006—2021年中国居民乙型肝炎相关死亡情况的流行特征分析,已锁定,,10.3760/cma.j.cn501113-20240801-00356,"中华肝脏病杂志 2025,33(2):128-134",https://doi.org/10.3760/cma.j.cn501113-20240801-00356,
T1_指南政策,珠海丙肝微消除福星计划结果,1,3,2025,中华肝脏病杂志,病毒性肝炎 ｜ 郑新春夏瑾瑜：珠海丙型肝炎微消除行动“福星计划”结果分析,已锁定,40044431,10.3760/cma.j.cn501113-20240224-00091,"中华肝脏病杂志 2025,33(2):135-142",https://doi.org/10.3760/cma.j.cn501113-20240224-00091,
T1_指南政策,「病毒性肝炎」医保可跨省直接结算！如何享受？攻略来啦,1,3,2024,肝博士,「病毒性肝炎」医保可跨省直接结算！如何享受？攻略来啦,已剔除,,,,,非期刊来源：医保政策科普报道（肝博士2024）
T1_指南政策,贾继东：中国病毒性肝炎防治的挑战与进展,1,3,2024,临床肝胆病杂志,会议回放｜贾继东：中国病毒性肝炎防治的挑战与进展,已锁定,,10.12449/JCH250202,"临床肝胆病杂志 2025,41(2):205-209",https://doi.org/10.12449/JCH250202,
T1_指南政策,血清HBV前基因组RNA变化特点研究,1,3,2024,中华肝脏病杂志,病毒性肝炎 ｜ 潘家莉徐小元：血清乙型肝炎病毒前基因组RNA在慢性乙型肝炎患者长期抗病毒治疗中的变化特点,已锁定,,10.3760/cma.j.cn501113-20230814-00054,"中华肝脏病杂志 2024,32(1):16-21",https://doi.org/10.3760/cma.j.cn501113-20230814-00054,
T1_指南政策,慢乙肝抗病毒治疗方案类型横断面调查,1,3,2024,中华肝脏病杂志,病毒性肝炎 ｜ 薛秀兰梁惠卿：慢性乙型肝炎患者抗病毒治疗方案类型横断面调查,已锁定,,10.3760/cma.j.cn501113-20231225-00297,"中华肝脏病杂志 2024,32(1):29-34",https://doi.org/10.3760/cma.j.cn501113-20231225-00297,
T1_指南政策,2021-2023中国孕产妇乙肝现症感染流行病学,1,3,2024,中华肝脏病杂志,病毒性肝炎 ｜ 黄东旭王爱玲：2021-2023年中国孕产妇乙型肝炎病毒现症感染的流行病学分析,已锁定,,10.3760/cma.j.cn501113-20240422-00219,"中华肝脏病杂志 2024,32(5):449-452",https://doi.org/10.3760/cma.j.cn501113-20240422-00219,
T1_指南政策,迈向再无病毒性肝炎威胁的2030(吴晓宁等),1,3,2023,肝胆相照平台,「转」吴晓宁 尤红 贾继东《肝脏》：迈向再无病毒性肝炎威胁的2030,已锁定,,,"肝脏 2023,28(1):28-30",https://search.napstic.cn/literature/periodical/010gz202301008,
T1_指南政策,妊娠期病毒性肝炎管理指南推荐,1,3,2023,肝胆相照平台,「转」妊娠期病毒性肝炎的管理：16条指南推荐意见一览｜指南共识,已剔除,,,,,ACOG 2023《Viral Hepatitis in Pregnancy》临床实践指南中文摘编（肝胆相照平台2023-08转载），非中国证据；核心内容已由《乙型肝炎病毒母婴传播防治指南(2024年版)》等已锁定中国指南覆盖，且为P3低优先级
T1_指南政策,基于Andersen模型丙肝治疗相关因素(徐朋等),1,3,2023,中华肝脏病杂志,病毒性肝炎 ｜ 徐朋刘中夫李健：基于Andersen模型探讨既往报告丙型肝炎患者抗病毒治疗的相关因素研究,已锁定,,10.3760/cma.j.cn501113-20221108-00551,"中华肝脏病杂志 2023,31(1):49-55",https://doi.org/10.3760/cma.j.cn501113-20221108-00551,
T1_指南政策,慢乙肝不同类型抗病毒治疗适应证病理特征(胡爱荣),1,3,2023,中华肝脏病杂志,病毒性肝炎 ｜ 胡爱荣：慢性乙型肝炎不同类型抗病毒治疗适应证临床病理特征的比较,已锁定,,10.3760/cma.j.cn501113-20210402-00159,"中华肝脏病杂志 2022,30(10):1050-1055",https://doi.org/10.3760/cma.j.cn501113-20210402-00159,
T1_指南政策,积极推进中国式乙型肝炎全治(建议),1,3,2023,肝胆相照平台,积极推进中国式乙型肝炎  “全治” ：对进一步修改我国乙型肝炎防治指南的建议,已锁定,,10.3760/cma.j.cn501113-20230512-00218,"中华肝脏病杂志 2023,31(10):1101-1102",https://doi.org/10.3760/cma.j.cn501113-20230512-00218,
T2_筛查,成人乙型肝炎疫苗接种专家建议(2024),4,0,2024,"中华肝脏病杂志,临床肝胆病杂志,肝胆相照平台",「转」权威发布 ｜ 成人乙型肝炎疫苗接种专家建议,已锁定,,10.12449/JCH240808,"临床肝胆病杂志 2024,40(8):1551-1556",https://doi.org/10.12449/JCH240808,
T2_筛查,关于慢性乙型肝炎筛查、管理、检测、治疗的专家建议（全面、细致解读）,1,0,2024,肝博士,前沿权威 ｜ 关于慢性乙型肝炎筛查、管理、检测、治疗的专家建议（全面、细致解读）,待核实,,,,,
T2_筛查,成人乙型肝炎病毒感染筛查检测及管理专家建议(2024),3,0,2024,"中华肝脏病杂志,临床肝胆病杂志,肝胆相照平台",权威发布 ｜ 成人乙型肝炎病毒感染筛查、检测及管理专家建议,已锁定,,10.12449/JCH240807,"临床肝胆病杂志 2024,40(8):1543-1550",https://doi.org/10.12449/JCH240807,
T2_筛查,戊型病毒性肝炎院内筛查管理流程专家共识(2023年版),1,0,2023,临床肝胆病杂志,权威发布｜中国戊型病毒性肝炎院内筛查管理流程专家共识（2023年版）,已锁定,,10.3969/j.issn.1001-5256.2023.04.008,"临床肝胆病杂志 2023,39(4):785-794",https://doi.org/10.3969/j.issn.1001-5256.2023.04.008,
T2_筛查,慢性肝病、肝脏恶性肿瘤及肝移植患者新型冠状病毒疫苗接种快速指南,3,0,2022、2021,"中华肝脏病杂志,肝胆相照平台",「转」指南全文与贾继东教授视频解读｜慢性肝病、肝脏恶性肿瘤及肝移植患者新型冠状病毒疫苗接种快速指南,待核实,,,,,
T2_筛查,HBsAg阳性成人肝癌筛查监测培训(星光项目),4,0,2022,中华肝脏病杂志,乙肝表面抗原阳性成人肝癌筛查与监测管理培训（星光项目）巡讲会暨中华肝脏病杂志“指南与共识”云解读系列会五,待核实,,,,,
T2_筛查,慢乙肝病毒感染者HCC筛查和监测(指南解读),2,0,2022、2021,中华肝脏病杂志,加强肝癌高危患者筛查和监测，践行“健康中国2030” ——《慢性乙型肝炎病毒感染者肝细胞癌筛查和监测》解析,待核实,,,,,
T2_筛查,2021年美国肝病学会专家共识声明：肝病患者接种疫苗预防COVID-19感染,1,0,2021,临床肝胆病杂志,新冠共识｜2021年美国肝病学会专家共识声明：肝病患者接种疫苗预防COVID-19感染,待核实,,,,,
T2_筛查,最新！美国肝病学会：肝病患者接种COVID-19疫苗的专家共识,1,0,2021,临床肝胆病杂志,最新！美国肝病学会：肝病患者接种COVID-19疫苗的专家共识,待核实,,,,,
T2_筛查,乙肝疫苗使用指南特殊群体接种,1,0,2017,临床肝胆病杂志,2017年WHO乙肝疫苗使用指南：特殊群体的疫苗接种,待核实,,,,,
T2_筛查,EASL2025：治疗性乙肝疫苗BRII-179和Elebsiran等序贯联合用药48周HBsAg阴转率超40%,1,1,2025,肝脏时间,EASL2025：治疗性乙肝疫苗BRII-179和Elebsiran等序贯联合用药48周HBsAg阴转率超40%,待核实,,,,,
T2_筛查,抗乙肝病毒治疗新选择：艾米替诺福韦48周无显著升高血脂效应,1,1,2025,中华肝脏病杂志,「转」JCTH｜抗乙肝病毒治疗新选择：艾米替诺福韦48周无显著升高血脂效应,待核实,,,,,
T2_筛查,【期刊导读】HBsAg清除后接种乙肝疫苗有利于提高HBsAg血清学转换率及抗-HBs水平,1,1,2024,雨露肝霖,【期刊导读】HBsAg清除后接种乙肝疫苗有利于提高HBsAg血清学转换率及抗-HBs水平,待核实,,,,,
T2_筛查,【期刊导读】经聚乙二醇干扰素α治疗获得HBsAg清除后联合乙肝疫苗可增强免疫应答，提高HBsAg血清学转换率,1,1,2024,雨露肝霖,【期刊导读】经聚乙二醇干扰素α治疗获得HBsAg清除后联合乙肝疫苗可增强免疫应答，提高HBsAg血清学转换率,待核实,,,,,
T2_筛查,施军平教授：一项评估代谢相关脂肪性肝病患者接种SARS-CoV-2疫苗的前瞻性队列研究,1,1,2022,肝胆相照平台,EASL 2022｜施军平教授：一项评估代谢相关脂肪性肝病患者接种SARS-CoV-2疫苗的前瞻性队列研究,待核实,,,,,
T2_筛查,Hepatology：对NAFLD患者采用合理的HCC筛查方法,1,1,2022,肝胆相照平台,「转」Hepatology：对NAFLD患者采用合理的HCC筛查方法,待核实,,,,,
T2_筛查,【期刊导读】高敏HBsAg检测可提高HBsAg的检出率，对乙肝管理具有促进意义,1,1,2022,雨露肝霖,【期刊导读】高敏HBsAg 检测可提高HBsAg的检出率，对乙肝管理具有促进意义,待核实,,,,,
T2_筛查,综述丨Hepatology：对NAFLD患者采用合理的HCC筛查方法,1,1,2022,肝癌在线,综述丨Hepatology：对NAFLD患者采用合理的HCC筛查方法,待核实,,,,,
T2_筛查,中国慢性乙肝临床治愈“珠峰工程”干扰素治疗期间接种新冠病毒疫苗的建议,1,1,2021,雨露肝霖,中国慢性乙肝临床治愈“珠峰工程” 干扰素治疗期间接种新冠病毒疫苗的建议,待核实,,,,,
T2_筛查,【期刊导读】超声扫描或甲胎蛋白筛查可降低慢乙肝患者肝癌相关死亡风险,1,1,2020,雨露肝霖,【期刊导读】超声扫描或甲胎蛋白筛查可降低慢乙肝患者肝癌相关死亡风险,待核实,,,,,
T2_筛查,【EASL2019】聚乙二醇干扰素α+恩替卡韦+乙肝疫苗可提高慢乙肝临床治愈率,1,1,2019,雨露肝霖,【EASL 2019】聚乙二醇干扰素α + 恩替卡韦 + 乙肝疫苗可提高慢乙肝临床治愈率,待核实,,,,,
T2_筛查,荟萃分析：替比夫定阻断中晚期妊娠患者HBV宫内传播的新证据,1,1,2014,临床肝胆病杂志,荟萃分析：替比夫定阻断中晚期妊娠患者HBV宫内传播的新证据,待核实,,,,,
T2_筛查,王富珍：中国乙型肝炎疫苗免疫策略及接种进展,1,2,2025,临床肝胆病杂志,专家论坛｜王富珍：中国乙型肝炎疫苗免疫策略及接种进展,待核实,,,,,
T2_筛查,庄辉院士：成人普遍筛查HBV感染和接种乙型肝炎疫苗，加速消除乙型肝炎,1,2,2024,中华肝脏病杂志,专家论坛 ｜  庄辉院士：成人普遍筛查HBV感染和接种乙型肝炎疫苗，加速消除乙型肝炎,待核实,,,,,
T2_筛查,韩国荣：妊娠期抗病毒治疗阻断HBV母婴传播的新进展,1,2,2024,临床肝胆病杂志,专家论坛｜韩国荣：妊娠期抗病毒治疗阻断HBV母婴传播的新进展,待核实,,,,,
T2_筛查,尤红：扩大慢性乙型肝炎抗病毒治疗：更多筛查，更多治疗,1,2,2023,中华肝脏病杂志,专家论坛 ｜ 尤红：扩大慢性乙型肝炎抗病毒治疗：更多筛查，更多治疗,待核实,,,,,
T2_筛查,陈恩强：加强一般人群的HBsAg筛查与扩大乙型肝炎抗病毒治疗适应证：势在必行,1,2,2023,中华肝脏病杂志,学术争鸣 ｜ 陈恩强：加强一般人群的HBsAg筛查与扩大乙型肝炎抗病毒治疗适应证：势在必行,待核实,,,,,
